Open;High;Low;Close;Adj Close;Volume
28400.04;28400.04;28345.07;28351.76;28351.76;2607104
28360.84;28380.08;28360.84;28380.08;28380.08;3609600
28459.47;28475.11;28459.47;28474.02;28474.02;6374400
28481.97;28499.72;28481.97;28499.72;28499.72;16231424
28504.69;28504.69;28491.89;28491.89;28491.89;5799936
28476.18;28476.18;28454.99;28456.95;28456.95;5902336
28469.27;28475.75;28465.87;28475.75;28475.75;8768512
28495.58;28501.47;28495.58;28501.47;28501.47;136192
28474.61;28481.64;28474.61;28478.97;28478.97;348160
28499.75;28504.87;28499.75;28504.28;28504.28;559104
28519.54;28525.01;28519.54;28524.96;28524.96;5102592
28512.4;28515.65;28512.4;28514.19;28514.19;5086208
28518.94;28546.77;28518.94;28546.77;28546.77;1423360
28561.83;28585.65;28561.83;28579.96;28579.96;71703552
28576.67;28889.01;28576.67;28727.96;28727.96;236791808
28735.29;28752.9;28698.83;28698.83;28698.83;454347776
28725.67;28742.08;28725.67;28742.08;28742.08;135631872
28741.8;28741.8;28701.52;28701.52;28701.52;47966208
28678.88;28713.77;28676.11;28676.11;28676.11;133760000
28680.23;28686.1;28671.38;28686.1;28686.1;46703616
28708.99;28752.34;28708.99;28744.19;28744.19;76482560
28719.69;28769.93;28718.52;28769.93;28769.93;31436800
28746.45;28782.35;28746.45;28782.35;28782.35;57655296
28793.82;28852.36;28793.82;28828.72;28828.72;92794880
28769.29;28769.29;28706.55;28713.13;28713.13;69506048
28694.45;28694.45;28672.12;28675.93;28675.93;83909632
28675.62;28689.07;28675.62;28687.31;28687.31;36001792
28725.93;28725.93;28685.9;28689.35;28689.35;19620864
28689.35;28727.57;28689.35;28727.57;28727.57;4578304
28725.73;28742.79;28725.73;28742.79;28742.79;9939968
28742.97;28742.97;28727.99;28734.28;28734.28;10712064
28731.25;28731.25;28695.69;28695.69;28695.69;10890240
28694.33;28704.89;28678.49;28678.49;28678.49;2141184
28678.86;28692.71;28677.58;28677.58;28677.58;6373376
28671.76;28671.76;28653.46;28661.91;28661.91;8558592
28690.35;28700.38;28690.35;28693.2;28693.2;15842304
28585.39;28598.25;28574.64;28579.31;28579.31;56796160
28589.03;28597.47;28589.03;28593.41;28593.41;16974848
28586.09;28606.53;28586.09;28589.31;28589.31;14373888
28582.34;28590.07;28555.81;28590.07;28590.07;12304384
28590.07;28599.22;28575.31;28599.22;28599.22;11242496
28607.66;28607.66;28596.55;28596.55;28596.55;17007616
28534.12;28539.47;28526.45;28526.45;28526.45;5836800
28554.81;28556.37;28551.89;28551.89;28551.89;2613248
28553.37;28556.83;28550.53;28556.83;28556.83;2708480
28584.86;28595.67;28584.86;28595.67;28595.67;13851648
28600.52;28605.43;28578.21;28578.21;28578.21;1495040
28576.45;28606.09;28575.53;28606.09;28606.09;9691136
28607.4;28607.4;28600.52;28600.52;28600.52;4148224
28602.76;28602.76;28592.57;28592.57;28592.57;11043840
28578.81;28578.97;28576.21;28576.21;28576.21;3191808
28278.8;28344.47;28278.8;28331.05;28331.05;201694208
28363.07;28400.45;28363.07;28400.45;28400.45;64079872
28400.04;28408.28;28391.46;28401.15;28401.15;44039168
28400.15;28419.9;28398.54;28419.9;28419.9;6210560
28394.02;28420.0;28390.23;28420.0;28420.0;19596288
28371.87;28371.87;28365.79;28365.79;28365.79;12178432
28357.39;28388.34;28357.39;28388.34;28388.34;1946624
28402.67;28404.71;28398.3;28400.2;28400.2;19789824
28394.39;28394.39;28371.72;28371.72;28371.72;2340864
28369.68;28391.23;28369.68;28391.23;28391.23;1733632
28391.69;28409.7;28391.69;28406.08;28406.08;3422208
28363.94;28363.94;28322.58;28331.84;28331.84;10126336
28311.0;28337.76;28311.0;28326.71;28326.71;8576000
28386.62;28386.62;28353.1;28353.1;28353.1;285672448
28312.81;28315.87;28293.46;28315.87;28315.87;5774336
28304.96;28358.69;28304.96;28358.69;28358.69;17235968
28371.04;28371.04;28314.5;28314.5;28314.5;2143232
28301.04;28301.04;28274.24;28274.24;28274.24;11374592
28252.77;28252.77;28174.25;28212.56;28212.56;84418560
28232.28;28244.76;28232.28;28239.4;28239.4;17627136
28217.54;28222.01;28199.84;28213.35;28213.35;9623552
28306.99;28377.79;28306.99;28377.79;28377.79;42130432
28375.22;28375.22;28374.16;28374.16;28374.16;89948160
28363.58;28363.58;28346.22;28346.22;28346.22;6925312
28360.68;28362.05;28338.06;28338.06;28338.06;9700352
28327.42;28327.42;28299.03;28299.03;28299.03;4248576
28306.16;28318.91;28306.16;28318.91;28318.91;12437504
28386.84;28402.68;28386.84;28402.68;28402.68;11248640
28385.47;28385.9;28373.33;28373.33;28373.33;34891776
28412.42;28412.69;28402.91;28410.97;28410.97;45675520
28413.97;28413.97;28408.21;28413.35;28413.35;34272256
28424.81;28424.81;28411.07;28411.07;28411.07;13030400
28411.25;28414.62;28394.27;28394.27;28394.27;15114240
28368.58;28368.81;28366.21;28368.81;28368.81;4923392
28366.85;28368.85;28360.03;28368.85;28368.85;905216
28366.68;28373.82;28364.61;28373.82;28373.82;1052672
28374.99;28374.99;28350.54;28350.54;28350.54;8238080
28274.53;28291.57;28274.51;28290.99;28290.99;7048192
28288.38;28289.1;28264.58;28274.53;28274.53;4012032
28302.41;28314.1;28298.33;28314.1;28314.1;1937408
28322.75;28322.75;28309.41;28309.41;28309.41;2289664
28282.77;28297.03;28278.93;28297.03;28297.03;829440
28245.37;28247.77;28227.16;28247.77;28247.77;6754304
28243.57;28243.57;28230.14;28230.55;28230.55;18484224
28272.38;28272.38;28259.66;28259.66;28259.66;5289984
28286.97;28310.91;28286.97;28310.91;28310.91;6740992
28321.09;28322.21;28311.19;28319.4;28319.4;5453824
28322.64;28334.14;28322.37;28332.58;28332.58;9184256
28331.02;28338.11;28328.12;28328.12;28328.12;248240128
28319.8;28320.09;28315.51;28317.52;28317.52;2865152
28330.8;28341.74;28330.8;28341.74;28341.74;3885056
28339.96;28347.2;28339.96;28346.45;28346.45;551936
28362.86;28362.86;28340.65;28346.06;28346.06;14593024
28341.29;28341.29;28338.25;28340.2;28340.2;1082368
28336.52;28340.6;28336.16;28336.16;28336.16;6215680
28319.12;28325.47;28319.12;28325.47;28325.47;9736192
28335.44;28358.82;28327.53;28327.53;28327.53;18853888
28323.28;28325.51;28321.48;28321.99;28321.99;4609024
28329.59;28340.6;28327.17;28340.6;28340.6;2846720
28333.03;28333.03;28324.24;28329.97;28329.97;1112064
28330.7;28330.7;28328.23;28329.4;28329.4;1050624
28309.84;28329.95;28309.84;28329.95;28329.95;8605696
28321.77;28351.78;28320.22;28351.78;28351.78;10076160
28350.32;28358.43;28350.32;28356.46;28356.46;17372160
28337.77;28376.39;28337.77;28372.02;28372.02;7630848
28378.48;28391.29;28375.4;28388.42;28388.42;26554368
28397.28;28399.84;28393.88;28399.84;28399.84;15624192
28404.1;28413.59;28404.1;28413.59;28413.59;7351296
28416.93;28420.3;28412.79;28412.79;28412.79;4398080
28398.41;28400.39;28386.01;28386.01;28386.01;8494080
28345.54;28345.54;28295.55;28295.55;28295.55;29128704
28185.96;28235.73;28177.99;28235.73;28235.73;204209152
28227.61;28227.61;28208.84;28208.84;28208.84;70182912
28229.73;28245.4;28229.73;28241.4;28241.4;73738240
28233.61;28263.6;28233.61;28257.94;28257.94;23411712
28258.32;28258.32;28227.79;28250.46;28250.46;21762048
28240.36;28240.36;28209.45;28209.45;28209.45;72065024
28211.59;28211.59;28206.22;28210.78;28210.78;9677824
28210.46;28213.86;28204.2;28204.2;28204.2;10884096
28204.3;28230.69;28204.3;28214.17;28214.17;2486272
28219.13;28231.29;28206.67;28228.58;28228.58;4112384
28218.85;28218.85;28209.39;28214.22;28214.22;3987456
28232.86;28242.19;28230.12;28237.54;28237.54;1018880
28233.66;28249.53;28233.66;28249.53;28249.53;10854400
28252.95;28264.7;28252.26;28264.7;28264.7;5913600
28266.29;28266.29;28258.19;28260.07;28260.07;10329088
28259.72;28259.72;28250.96;28250.96;28250.96;1113088
28260.49;28260.49;28241.8;28244.23;28244.23;9286656
28244.55;28254.7;28240.9;28254.7;28254.7;8137728
28261.99;28262.09;28250.9;28252.02;28252.02;4759552
28262.49;28262.92;28248.18;28250.56;28250.56;6000640
28253.02;28253.02;28246.38;28246.57;28246.57;3570688
28245.52;28249.65;28245.52;28249.65;28249.65;10625024
28248.99;28271.65;28248.99;28271.65;28271.65;9681920
28277.49;28277.83;28270.36;28270.36;28270.36;13102080
28274.47;28288.08;28270.31;28283.83;28283.83;1193984
28290.51;28290.51;28284.38;28287.29;28287.29;3247104
28284.31;28293.36;28284.31;28286.98;28286.98;26406912
28309.59;28309.59;28299.36;28303.54;28303.54;234496
28304.78;28306.22;28289.97;28289.97;28289.97;39936
28360.09;28369.8;28357.75;28369.8;28369.8;5498880
28334.91;28352.41;28326.21;28352.41;28352.41;10036224
28355.7;28355.7;28351.56;28353.94;28353.94;6751232
28355.13;28355.13;28335.54;28337.18;28337.18;2835456
28309.36;28327.97;28308.08;28323.48;28323.48;27487232
28316.6;28356.8;28316.6;28356.8;28356.8;22410240
28364.02;28376.05;28364.02;28376.05;28376.05;7322624
28371.95;28373.71;28366.42;28372.73;28372.73;1747968
28370.63;28382.76;28370.63;28378.71;28378.71;24080384
28375.77;28396.41;28375.77;28396.41;28396.41;13598720
28402.89;28409.19;28402.89;28409.19;28409.19;25363456
28404.78;28407.55;28397.57;28400.92;28400.92;50570240
28390.25;28400.12;28390.25;28399.13;28399.13;25501696
28498.16;28513.6;28475.79;28475.79;28475.79;110240768
28499.72;28499.72;28442.65;28442.65;28442.65;63420416
28450.07;28459.1;28450.07;28455.57;28455.57;26191872
28419.41;28442.28;28419.41;28442.28;28442.28;18594816
28446.55;28462.45;28443.16;28462.45;28462.45;5679104
28467.22;28467.22;28460.49;28463.05;28463.05;11037696
28485.04;28497.24;28485.04;28491.62;28491.62;25858048
28495.31;28498.78;28490.43;28490.43;28490.43;23457792
28453.92;28465.43;28453.92;28461.54;28461.54;11790336
28455.89;28455.89;28445.78;28445.78;28445.78;7315456
28446.58;28446.58;28434.55;28436.56;28436.56;16115712
28434.54;28436.49;28419.31;28430.69;28430.69;9842688
28433.52;28439.58;28433.52;28436.41;28436.41;1024
28430.91;28447.25;28429.46;28447.25;28447.25;5594112
28438.37;28445.39;28433.45;28433.45;28433.45;14406656
28436.04;28447.49;28436.04;28444.99;28444.99;12426240
28445.74;28449.35;28445.74;28449.35;28449.35;22218752
28477.96;28484.42;28473.58;28481.6;28481.6;6757376
28482.41;28554.48;28482.41;28523.05;28523.05;24841216
28512.03;28535.54;28495.79;28535.54;28535.54;81843200
28538.55;28566.75;28527.37;28527.37;28527.37;45263872
28506.58;28506.58;28461.88;28461.88;28461.88;55084032
28450.39;28486.65;28450.39;28486.65;28486.65;42222592
28472.43;28472.43;28453.56;28465.1;28465.1;22603776
28462.68;28463.64;28449.96;28450.67;28450.67;13176832
