Open;High;Low;Close;Adj Close;Volume
29681.76;29683.75;29673.63;29682.76;29682.76;606208
29683.18;29697.01;29683.18;29697.01;29697.01;7835648
29615.14;29625.56;29614.46;29625.56;29625.56;15593472
29632.93;29642.51;29627.33;29638.05;29638.05;5498880
29565.21;29571.09;29565.21;29571.09;29571.09;13334528
29567.85;29572.83;29560.84;29560.84;29560.84;4714496
29560.7;29560.7;29543.04;29546.38;29546.38;8105984
29517.54;29543.07;29517.54;29543.07;29543.07;9283584
29540.22;29544.76;29537.79;29544.76;29544.76;10094592
29676.82;29722.62;29670.11;29722.62;29722.62;36036608
29705.69;29716.31;29692.62;29712.12;29712.12;25415680
29716.77;29718.13;29712.92;29715.82;29715.82;16683008
29703.42;29728.18;29703.42;29728.18;29728.18;733184
29727.64;29727.64;29718.66;29718.66;29718.66;3559424
29762.21;29792.29;29762.21;29792.29;29792.29;510976
29791.01;29851.57;29791.01;29829.32;29829.32;55013376
29831.99;29887.21;29831.99;29865.06;29865.06;59583488
29877.6;29898.74;29877.6;29886.27;29886.27;55257088
29876.52;29898.11;29873.68;29898.11;29898.11;15952896
29943.41;29943.41;29910.65;29910.65;29910.65;22525952
29861.07;29861.07;29814.6;29814.6;29814.6;22347776
29816.62;29840.38;29802.47;29840.38;29840.38;20697088
29852.85;29868.94;29852.85;29859.81;29859.81;4738048
29925.23;29942.66;29920.62;29920.62;29920.62;192512
29917.01;29917.01;29894.75;29898.28;29898.28;4292608
29916.75;29924.36;29904.31;29924.36;29924.36;8717312
29924.46;29945.83;29924.46;29927.29;29927.29;22639616
29937.29;29966.08;29933.93;29966.08;29966.08;8986624
29978.39;29994.66;29978.39;29988.19;29988.19;46650368
29996.42;30050.85;29996.42;30050.85;30050.85;131399680
30076.69;30139.76;30076.69;30077.18;30077.18;166336512
30109.47;30123.9;30078.28;30078.28;30078.28;44682240
30106.86;30154.53;30106.86;30147.16;30147.16;52649984
30152.32;30287.48;30152.32;30202.92;30202.92;241164288
30131.44;30131.44;30006.59;30027.61;30027.61;154994688
30045.53;30045.53;29996.16;29996.16;29996.16;133044224
30005.73;30069.85;30001.33;30068.38;30068.38;77359104
30086.38;30128.42;30085.79;30128.42;30128.42;47864832
30104.86;30117.77;30094.09;30117.77;30117.77;57513984
30113.48;30113.48;30027.38;30027.38;30027.38;24309760
30051.12;30116.19;30051.12;30116.19;30116.19;14753792
30114.49;30131.81;30114.28;30131.81;30131.81;47890432
30129.74;30129.74;30112.61;30122.23;30122.23;39800832
30119.91;30183.55;30119.91;30183.55;30183.55;50925568
30179.6;30213.6;30179.6;30213.6;30213.6;69997568
30215.72;30251.21;30215.72;30218.61;30218.61;31129600
30197.74;30197.74;30165.56;30171.35;30171.35;32475136
30148.22;30148.22;30116.15;30116.15;30116.15;32430080
30100.39;30119.75;30093.76;30105.69;30105.69;31429632
30104.06;30106.35;30072.72;30072.72;30072.72;5519360
30072.69;30072.69;30055.76;30066.14;30066.14;26401792
30073.2;30137.45;30073.2;30137.45;30137.45;10285056
30147.09;30147.91;30136.01;30136.01;30136.01;27638784
30159.31;30181.48;30157.6;30157.6;30157.6;7841792
30106.54;30106.54;30080.04;30080.04;30080.04;4254720
29974.46;30026.76;29974.46;30025.91;30025.91;27450368
30031.9;30059.68;30017.84;30059.68;30059.68;22436864
30068.88;30068.88;30047.25;30048.26;30048.26;20297728
30007.74;30012.31;30003.4;30003.4;30003.4;8636416
30053.99;30053.99;30032.98;30032.98;30032.98;7495680
30031.1;30031.41;30024.63;30027.6;30027.6;4134912
30039.99;30053.17;30036.1;30036.1;30036.1;5260288
30042.3;30043.16;30034.49;30034.49;30034.49;1793024
30058.46;30058.46;30009.32;30009.32;30009.32;934912
30019.05;30021.95;30010.92;30010.92;30010.92;7333888
30000.08;30001.02;29995.7;30001.02;30001.02;1138688
30026.77;30029.89;30018.52;30018.52;30018.52;7924736
30024.06;30030.63;30024.06;30027.72;30027.72;4932608
29996.38;29996.38;29985.98;29987.15;29987.15;5181440
29990.96;29990.96;29967.67;29970.22;29970.22;7433216
29968.71;29987.82;29962.73;29987.82;29987.82;661504
29988.4;30003.64;29988.4;30001.85;30001.85;8699904
30004.27;30015.65;30004.27;30010.61;30010.61;1579008
30012.93;30015.02;30009.73;30015.01;30015.01;7549952
29933.32;29933.32;29870.73;29870.73;29870.73;12288
29886.25;29905.96;29886.25;29905.96;29905.96;36464640
29903.71;29913.06;29903.71;29913.06;29913.06;14294016
29910.7;29916.63;29907.52;29916.63;29916.63;265900032
29915.41;29939.91;29915.41;29939.47;29939.47;8702976
29948.68;29960.9;29948.68;29960.21;29960.21;31777792
29963.57;29963.73;29962.31;29962.44;29962.44;6846464
29970.68;29989.82;29960.89;29960.89;29960.89;24400896
29961.32;29962.88;29957.5;29962.88;29962.88;4470784
29958.71;29962.12;29949.47;29962.12;29962.12;7270400
29971.32;30005.92;29971.32;29991.69;29991.69;6854656
29983.9;29987.62;29967.46;29985.29;29985.29;16427008
30006.44;30006.52;29994.74;29994.74;29994.74;19960832
30059.81;30066.7;30009.18;30009.18;30009.18;47275008
30004.7;30027.42;30004.7;30018.67;30018.67;22708224
30009.2;30009.2;29967.01;29967.01;29967.01;17129472
29948.36;29962.75;29948.36;29953.75;29953.75;35752960
29914.41;29914.41;29882.45;29906.68;29906.68;13088768
29910.65;29937.07;29910.65;29937.07;29937.07;10272768
29931.21;29944.21;29931.13;29944.21;29944.21;6843392
29944.21;29947.86;29937.98;29937.98;29937.98;7224320
29881.14;29881.14;29873.28;29877.05;29877.05;6242304
29871.27;29890.82;29871.27;29890.82;29890.82;5139456
29866.2;29879.72;29866.2;29867.08;29867.08;7578624
29867.23;29880.31;29867.23;29880.31;29880.31;16324608
29862.16;29867.21;29860.27;29867.01;29867.01;1671168
29887.47;29887.47;29876.88;29876.88;29876.88;14336
29874.28;29887.56;29874.11;29884.81;29884.81;5618688
29895.93;29898.87;29893.59;29898.87;29898.87;8080384
29920.56;29921.0;29909.13;29909.13;29909.13;6068224
29925.06;29926.84;29920.55;29926.17;29926.17;8064000
29922.12;29924.14;29920.95;29920.95;29920.95;5599232
29920.16;29926.61;29918.24;29920.73;29920.73;183296
29921.09;29931.5;29918.68;29930.57;29930.57;4853760
29934.71;29960.27;29934.63;29960.27;29960.27;15832064
29960.71;29962.71;29958.45;29962.71;29962.71;20340736
29960.73;29960.73;29957.05;29957.64;29957.64;11927552
29965.12;29984.05;29965.12;29984.05;29984.05;19280896
29984.19;29984.6;29979.6;29984.6;29984.6;4632576
29985.44;30003.55;29985.44;30003.55;30003.55;10531840
30002.64;30007.19;29975.78;29975.78;29975.78;11834368
29975.21;29975.21;29967.34;29967.34;29967.34;3747840
29970.74;30008.56;29970.74;30008.56;30008.56;263523328
30034.34;30071.21;30016.48;30016.48;30016.48;123370496
30018.62;30018.62;30011.56;30013.84;30013.84;67434496
30016.11;30044.06;30016.11;30044.06;30044.06;44066816
30058.48;30062.4;30056.2;30057.78;30057.78;20206592
30065.77;30065.77;30041.43;30041.43;30041.43;22506496
30034.16;30034.16;30027.54;30032.25;30032.25;7724032
30029.3;30038.82;30027.47;30038.82;30038.82;17385472
30038.56;30038.56;30010.06;30010.06;30010.06;7587840
29999.02;30010.65;29999.02;30010.65;30010.65;7254016
30015.93;30053.94;30015.93;30053.94;30053.94;11496448
30072.47;30193.32;30072.47;30136.77;30136.77;172146688
30133.99;30174.46;30130.24;30173.25;30173.25;65946624
30175.32;30175.32;30166.7;30172.91;30172.91;55791616
30176.68;30199.43;30176.68;30182.43;30182.43;65176576
30164.83;30164.83;30121.03;30121.03;30121.03;46689280
30121.26;30121.26;30100.88;30116.23;30116.23;25305088
30122.97;30137.97;30122.97;30136.22;30136.22;66318336
30129.67;30129.97;30100.07;30100.07;30100.07;963584
30094.12;30100.17;30088.58;30089.43;30089.43;5687296
30054.29;30054.29;30023.14;30041.12;30041.12;12921856
30040.86;30041.87;29979.56;29979.56;29979.56;27609088
29990.42;29995.7;29988.38;29994.34;29994.34;55063552
29991.23;29997.9;29979.89;29979.89;29979.89;8322048
29981.83;29981.83;29959.24;29960.71;29960.71;2022400
29961.87;29970.57;29906.83;29906.83;29906.83;13923328
29913.91;29923.04;29913.15;29913.15;29913.15;38174720
29890.35;29890.35;29720.31;29763.57;29763.57;212827136
29767.79;29837.19;29767.79;29837.19;29837.19;150486016
29837.09;29846.73;29828.36;29829.12;29829.12;48874496
29836.08;29836.08;29826.02;29834.73;29834.73;27872256
29834.7;29864.91;29812.07;29864.91;29864.91;5506048
29861.62;29869.43;29853.48;29869.43;29869.43;22774784
29862.34;29874.08;29862.34;29874.08;29874.08;21179392
29876.72;29889.1;29866.7;29866.7;29866.7;25764864
29867.34;29867.34;29838.36;29838.36;29838.36;17953792
29829.58;29829.58;29805.78;29805.78;29805.78;25767936
29824.38;29824.38;29799.68;29820.06;29820.06;19449856
29832.39;29838.9;29832.39;29833.17;29833.17;14799872
29838.56;29867.34;29838.56;29866.7;29866.7;13407232
29872.68;29879.66;29852.04;29852.04;29852.04;5746688
29861.67;29861.67;29849.25;29849.25;29849.25;13429760
29846.28;29857.58;29839.57;29854.38;29854.38;11619328
29872.5;29935.41;29872.22;29926.88;29926.88;5611520
29934.23;29947.15;29930.77;29944.83;29944.83;45252608
29967.5;29979.15;29960.69;29979.15;29979.15;30498816
29967.99;29969.21;29964.77;29969.21;29969.21;10509312
29980.68;29998.59;29977.45;29977.45;29977.45;26693632
29972.05;29984.27;29964.7;29964.7;29964.7;7408640
29956.36;29956.36;29939.83;29939.83;29939.83;8193024
29905.04;29915.51;29905.04;29915.51;29915.51;15451136
29907.34;29921.0;29907.34;29921.0;29921.0;252834816
29927.66;29946.45;29927.66;29945.44;29945.44;6434816
29943.46;29954.18;29940.91;29954.18;29954.18;3303424
29959.21;29959.23;29951.14;29951.14;29951.14;640000
29902.96;29905.6;29870.23;29870.23;29870.23;10788864
29888.25;29913.47;29888.25;29913.47;29913.47;18837504
29943.62;29954.81;29943.62;29951.93;29951.93;1769472
29942.65;29951.98;29935.11;29950.86;29950.86;3581952
29939.13;29939.13;29933.31;29933.31;29933.31;79872
29931.04;29931.11;29903.34;29904.16;29904.16;5708800
29952.48;29976.8;29952.48;29966.58;29966.58;16522240
29956.06;29956.06;29949.0;29951.57;29951.57;283651072
29920.04;29920.04;29881.87;29888.47;29888.47;529408
29890.47;29890.47;29878.78;29879.11;29879.11;31026176
29881.43;29886.01;29881.0;29881.0;29881.0;10356736
