Open;High;Low;Close;Adj Close;Volume
33852.98;33910.55;33852.98;33910.55;33910.55;16486400
33816.48;33822.47;33709.11;33822.47;33822.47;53430272
33803.09;33868.49;33803.09;33868.49;33868.49;8282112
34063.81;34071.82;34047.77;34047.77;34047.77;3244032
34054.42;34088.61;34054.42;34088.61;34088.61;2584576
34072.08;34217.07;34072.08;34217.07;34217.07;62025728
34257.72;34257.72;34196.61;34238.56;34238.56;136624128
34267.1;34294.57;34200.93;34200.93;34200.93;35852288
34096.34;34150.28;34096.34;34147.61;34147.61;7897088
34314.74;34314.74;34256.18;34275.28;34275.28;2334720
34315.17;34374.26;34286.21;34374.26;34374.26;221184
34389.54;34412.71;34336.48;34336.48;34336.48;61024256
34356.66;34371.14;34341.6;34354.12;34354.12;5128192
34383.37;34406.91;34358.56;34358.56;34358.56;14757888
34445.0;34498.52;34445.0;34485.61;34485.61;14346240
34524.8;34524.8;34462.46;34493.1;34493.1;11630592
34512.44;34646.94;34512.44;34646.94;34646.94;46901248
34578.38;34578.38;34467.55;34467.55;34467.55;161826816
34472.34;34498.61;34398.27;34398.27;34398.27;30263296
34397.09;34437.24;34376.38;34437.24;34437.24;11950080
34444.16;34444.16;34341.17;34341.17;34341.17;2531328
34324.68;34389.2;34324.68;34389.2;34389.2;13836288
34415.56;34444.23;34399.07;34419.46;34419.46;36435968
34411.04;34429.71;34372.29;34372.29;34372.29;3426304
34486.79;34550.18;34486.79;34550.18;34550.18;28874752
34548.23;34642.34;34542.01;34642.34;34642.34;16257024
34708.79;34708.79;34605.33;34605.33;34605.33;120612864
34680.96;34716.64;34680.96;34710.44;34710.44;116340736
34689.5;34708.14;34662.59;34708.14;34708.14;42043392
34717.7;34723.31;34637.94;34723.31;34723.31;9594880
34710.77;34795.85;34710.77;34795.85;34795.85;45762560
34779.36;34817.23;34749.77;34799.9;34799.9;52127744
34762.94;34762.94;34662.94;34668.07;34668.07;57688064
34911.49;34911.49;34859.0;34900.92;34900.92;20287488
35116.22;35133.76;34884.53;34884.53;34884.53;167677952
34891.13;34915.01;34775.92;34806.89;34806.89;79413248
34802.15;34802.15;34745.87;34745.87;34745.87;57962496
34646.36;34681.72;34646.36;34670.34;34670.34;36593664
34575.21;34582.92;34559.58;34559.58;34559.58;4440064
34498.28;34559.14;34498.28;34554.67;34554.67;52901888
34587.67;34619.41;34587.67;34615.64;34615.64;48916480
34527.44;34610.98;34527.44;34610.98;34610.98;10926080
34598.45;34677.94;34598.45;34677.94;34677.94;14278656
34663.12;34663.12;34584.3;34584.3;34584.3;641024
34575.73;34651.51;34575.73;34651.51;34651.51;3330048
34598.58;34673.84;34598.58;34673.84;34673.84;6733824
34658.92;34678.52;34658.92;34669.52;34669.52;20535296
34658.15;34669.01;34642.52;34662.29;34662.29;9330688
34583.7;34648.54;34580.5;34648.54;34648.54;21268480
34654.69;34663.43;34620.68;34663.43;34663.43;2277376
34705.04;34786.4;34705.04;34786.4;34786.4;55273472
34783.12;34800.34;34703.43;34800.34;34800.34;28882944
34811.63;34845.03;34811.63;34825.2;34825.2;72964096
34821.45;34821.45;34764.22;34781.5;34781.5;46426112
34755.64;34795.73;34726.95;34795.73;34795.73;37898240
34771.8;34796.09;34764.38;34796.09;34796.09;20895744
34760.32;34760.32;34703.89;34703.89;34703.89;2977792
34754.81;34755.07;34740.41;34745.36;34745.36;3184640
34651.81;34651.81;34585.27;34585.27;34585.27;13996032
34581.13;34610.38;34545.04;34610.38;34610.38;19120128
34584.93;34612.97;34583.45;34583.45;34583.45;784384
34607.98;34650.74;34607.98;34629.93;34629.93;16812032
34367.52;34455.9;34367.52;34445.42;34445.42;194768896
34467.14;34473.07;34428.13;34428.13;34428.13;84086784
34433.48;34488.55;34433.48;34488.55;34488.55;22935552
34496.8;34527.51;34484.95;34527.51;34527.51;317440
34587.39;34632.51;34583.27;34632.51;34632.51;39569408
34720.01;34720.8;34680.34;34692.67;34692.67;13047808
34704.67;34705.57;34691.43;34691.43;34691.43;954368
34773.96;34786.6;34767.48;34767.48;34767.48;26556416
34744.8;34773.49;34744.8;34766.03;34766.03;1222656
34782.19;34797.32;34777.93;34777.93;34777.93;6916096
34784.5;34828.11;34784.5;34823.96;34823.96;19331072
34819.62;34832.91;34802.75;34805.88;34805.88;32765952
34788.18;34788.18;34748.76;34774.54;34774.54;25612288
34793.12;34801.83;34767.02;34767.03;34767.03;10551296
34777.36;34805.44;34777.36;34805.44;34805.44;4720640
34729.6;34745.91;34710.96;34711.69;34711.69;15775744
34714.92;34736.88;34711.64;34711.64;34711.64;3416064
34706.24;34709.76;34701.03;34709.2;34709.2;8814592
34663.79;34677.21;34663.79;34677.21;34677.21;5015552
34610.07;34615.86;34593.8;34601.33;34601.33;15630336
34544.32;34544.32;34526.16;34534.93;34534.93;15093760
34451.48;34464.15;34451.48;34464.15;34464.15;61304832
34488.56;34488.56;34458.67;34476.93;34476.93;41588736
34489.0;34501.23;34489.0;34495.67;34495.67;3160064
34516.49;34516.49;34494.38;34510.5;34510.5;8534016
34506.88;34549.19;34496.02;34539.75;34539.75;28436480
34542.74;34553.44;34536.54;34548.05;34548.05;19558400
34546.45;34571.9;34543.69;34571.9;34571.9;13309952
34575.46;34584.07;34556.0;34584.07;34584.07;8966144
34588.49;34628.62;34587.01;34628.62;34628.62;8329216
34635.04;34639.46;34628.6;34639.46;34639.46;39028736
34688.67;34707.81;34681.49;34707.81;34707.81;95662080
34691.21;34728.98;34691.21;34717.83;34717.83;34482176
34704.69;34774.05;34704.69;34745.62;34745.62;23654400
34735.48;34765.41;34735.48;34743.14;34743.14;41752576
34729.4;34729.4;34675.66;34675.66;34675.66;30267392
34656.66;34656.66;34543.26;34543.26;34543.26;14485504
34558.09;34608.21;34558.09;34608.21;34608.21;37021696
34612.54;34612.54;34547.84;34591.94;34591.94;2732032
34579.68;34579.68;34541.12;34541.12;34541.12;1044480
34527.65;34558.73;34520.26;34558.73;34558.73;17754112
34584.68;34584.68;34569.51;34580.77;34580.77;18053120
34571.38;34571.38;34494.74;34494.74;34494.74;8392704
34491.67;34491.67;34471.38;34471.38;34471.38;7000064
34457.36;34494.01;34456.63;34456.63;34456.63;18464768
34479.6;34490.03;34466.88;34466.88;34466.88;499949568
34400.85;34400.85;34339.02;34355.77;34355.77;49786880
34399.91;34423.09;34399.8;34409.14;34409.14;46090240
34427.46;34427.46;34381.3;34423.35;34423.35;8159232
34439.12;34439.12;34344.13;34354.93;34354.93;18890752
34343.2;34343.2;34305.12;34318.47;34318.47;30343168
34280.61;34280.61;34171.82;34237.77;34237.77;142336000
34250.21;34283.38;34250.21;34283.38;34283.38;55584768
34214.1;34279.83;34214.1;34279.83;34279.83;56662016
34164.83;34187.69;34151.88;34163.63;34163.63;21735424
34191.22;34191.22;34116.24;34116.24;34116.24;2467840
34059.22;34072.18;34046.28;34059.93;34059.93;98547712
34066.61;34066.61;33983.0;33983.0;33983.0;83484672
33993.07;34074.53;33993.07;34074.53;34074.53;77090816
34106.85;34126.08;34092.11;34107.55;34107.55;50503680
34169.33;34169.33;34136.29;34167.77;34167.77;9969664
34177.05;34203.63;34177.05;34196.71;34196.71;20662272
34222.8;34268.42;34211.76;34268.42;34268.42;1009664
34261.93;34324.64;34261.93;34324.64;34324.64;19312640
34320.44;34320.44;34282.14;34295.21;34295.21;6828032
34252.8;34312.13;34239.7;34253.97;34253.97;11929600
34295.4;34304.36;34286.63;34291.36;34291.36;25706496
34332.83;34353.59;34292.82;34292.82;34292.82;14239744
33952.99;34073.98;33950.88;34073.98;34073.98;140208128
